Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Beaufort;0;*;*;12;5 068 €;3978 € - 6831 €
Bech;1;*;*;5;*;*
Beckerich;6;*;*;5;*;*
Berdorf;12;5 110 €;3125 € - 8048 €;10;4 653 €;2865 € - 6889 €
Bertrange;53;10 088 €;5854 € - 13850 €;23;11 790 €;8648 € - 15352 €
Bettembourg;39;6 962 €;4733 € - 9119 €;6;*;*
Bettendorf;12;5 179 €;3409 € - 6774 €;18;5 746 €;5034 € - 6253 €
Betzdorf;3;*;*;0;*;*
Bissen;21;6 150 €;4323 € - 8489 €;11;7 555 €;6445 € - 9645 €
Biwer;0;*;*;0;*;*
Boulaide;1;*;*;4;*;*
Bourscheid;6;*;*;23;5 479 €;4884 € - 6169 €
Bous;5;*;*;0;*;*
Clervaux;27;4 352 €;3028 € - 5680 €;68;4 748 €;3935 € - 5669 €
Colmar-Berg;16;5 461 €;3975 € - 7895 €;9;*;*
Consdorf;3;*;*;0;*;*
Contern;8;*;*;26;7 255 €;6454 € - 8059 €
Dalheim;2;*;*;5;*;*
Diekirch;39;6 083 €;3596 € - 8219 €;43;7 219 €;5702 € - 8901 €
Differdange;258;5 999 €;3758 € - 8002 €;52;6 789 €;5349 € - 8560 €
Dippach;10;6 998 €;4941 € - 8239 €;6;*;*
Dudelange;142;6 468 €;4316 € - 8777 €;46;7 096 €;5110 € - 9047 €
Echternach;28;5 344 €;3936 € - 6974 €;6;*;*
Ell;5;*;*;2;*;*
Erpeldange-sur-Sûre;9;*;*;0;*;*
Esch-sur-Alzette;290;6 021 €;3964 € - 8126 €;98;7 174 €;6332 € - 8281 €
Esch-sur-Sûre;11;5 022 €;2819 € - 6935 €;1;*;*
Ettelbruck;42;5 507 €;3885 € - 7420 €;23;7 263 €;5456 € - 8885 €
Feulen;2;*;*;0;*;*
Fischbach;3;*;*;0;*;*
Flaxweiler;0;*;*;0;*;*
Frisange;28;6 595 €;4550 € - 8346 €;9;*;*
Garnich;1;*;*;0;*;*
Goesdorf;7;*;*;0;*;*
Grevenmacher;21;5 474 €;4185 € - 6700 €;5;*;*
Grosbous;8;*;*;0;*;*
Habscht;26;5 862 €;4237 € - 8651 €;10;6 442 €;4075 € - 7426 €
Heffingen;6;*;*;3;*;*
Helperknapp;17;5 972 €;3626 € - 9087 €;36;5 928 €;4189 € - 7041 €
Hesperange;95;8 437 €;5185 € - 10688 €;111;9 436 €;7690 € - 11374 €
Junglinster;17;7 131 €;4823 € - 9155 €;29;7 510 €;5903 € - 9226 €
Käerjeng;36;6 373 €;4566 € - 8797 €;19;7 061 €;5764 € - 9127 €
Kayl;92;6 599 €;4452 € - 8556 €;22;7 014 €;5887 € - 8291 €
Kehlen;13;7 060 €;4763 € - 9306 €;5;*;*
Kiischpelt;1;*;*;0;*;*
Koerich;5;*;*;4;*;*
Kopstal;17;8 606 €;5395 € - 12743 €;15;9 590 €;7084 € - 11076 €
Lac de la Haute-Sûre;1;*;*;9;*;*
Larochette;12;5 439 €;4197 € - 6918 €;8;*;*
Lenningen;8;*;*;0;*;*
Leudelange;10;7 410 €;6864 € - 8045 €;0;*;*
Lintgen;16;6 330 €;2779 € - 8385 €;11;8 565 €;5495 € - 11006 €
Lorentzweiler;17;7 952 €;4718 € - 9795 €;26;8 184 €;7139 € - 8857 €
Luxembourg-Ville;465;10 263 €;7165 € - 13508 €;395;11 469 €;8535 € - 14217 €
Mamer;29;7 200 €;4405 € - 9709 €;64;8 165 €;6981 € - 9451 €
Manternach;1;*;*;0;*;*
Mersch;52;6 355 €;3977 € - 8487 €;3;*;*
Mertert;22;5 574 €;3786 € - 6815 €;89;6 244 €;5193 € - 8204 €
Mertzig;6;*;*;0;*;*
Mondercange;33;6 641 €;3770 € - 8960 €;24;7 420 €;4745 € - 9245 €
Mondorf-les-Bains;40;6 618 €;4181 € - 8833 €;48;9 109 €;6360 € - 11239 €
Niederanven;4;*;*;20;8 668 €;6642 € - 13729 €
Nommern;1;*;*;0;*;*
Parc Hosingen;7;*;*;5;*;*
Petange;168;5 862 €;3914 € - 7480 €;65;5 842 €;4394 € - 7124 €
Preizerdaul;3;*;*;10;5 185 €;4155 € - 6881 €
Putscheid;1;*;*;0;*;*
Rambrouch;7;*;*;2;*;*
Reckange-sur-Mess;5;*;*;4;*;*
Redange;4;*;*;9;*;*
Reisdorf;4;*;*;0;*;*
