Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Beaufort;4;*;*;5;*;*
Bech;0;*;*;6;*;*
Beckerich;7;*;*;3;*;*
Berdorf;7;*;*;19;5 999 €;4252 € - 7153 €
Bertrange;30;8 534 €;6059 € - 12519 €;30;10 373 €;8239 € - 12373 €
Bettembourg;40;5 994 €;4536 € - 7667 €;22;6 533 €;5254 € - 7673 €
Bettendorf;9;*;*;13;5 273 €;4629 € - 5797 €
Betzdorf;7;*;*;0;*;*
Bissen;15;5 132 €;2229 € - 7762 €;15;6 564 €;4087 € - 7959 €
Biwer;2;*;*;0;*;*
Boulaide;3;*;*;8;*;*
Bourscheid;8;*;*;0;*;*
Bous;9;*;*;0;*;*
Clervaux;29;3 751 €;2414 € - 4909 €;29;4 267 €;3614 € - 5020 €
Colmar-Berg;23;5 080 €;4077 € - 6298 €;17;5 645 €;4967 € - 6553 €
Consdorf;4;*;*;0;*;*
Contern;8;*;*;58;6 682 €;4564 € - 8332 €
Dalheim;4;*;*;3;*;*
Diekirch;34;5 078 €;2792 € - 6969 €;29;6 652 €;5750 € - 8122 €
Differdange;302;4 955 €;3383 € - 6385 €;187;5 766 €;4898 € - 6762 €
Dippach;19;5 693 €;3975 € - 7653 €;9;*;*
Dudelange;134;5 302 €;3799 € - 6966 €;41;6 264 €;5106 € - 7116 €
Echternach;31;4 710 €;3430 € - 5714 €;6;*;*
Ell;5;*;*;9;*;*
Erpeldange-sur-Sûre;9;*;*;0;*;*
Esch-sur-Alzette;273;5 111 €;3204 € - 7072 €;74;6 881 €;4918 € - 8653 €
Esch-sur-Sûre;5;*;*;6;*;*
Ettelbruck;51;5 126 €;3547 € - 6318 €;102;6 005 €;5245 € - 7209 €
Feulen;1;*;*;4;*;*
Fischbach;3;*;*;0;*;*
Flaxweiler;1;*;*;0;*;*
Frisange;29;5 607 €;4090 € - 7764 €;3;*;*
Garnich;0;*;*;0;*;*
Goesdorf;4;*;*;4;*;*
Grevenmacher;34;5 113 €;2996 € - 6737 €;1;*;*
Grosbous;6;*;*;0;*;*
Habscht;22;4 566 €;2805 € - 6130 €;35;5 397 €;4243 € - 6647 €
Heffingen;9;*;*;0;*;*
Helperknapp;8;*;*;39;5 632 €;4502 € - 7512 €
Hesperange;100;7 530 €;5597 € - 10075 €;83;9 288 €;7127 € - 11718 €
Junglinster;18;5 920 €;3876 € - 7894 €;16;6 846 €;4540 € - 8793 €
Käerjeng;40;5 203 €;3645 € - 6514 €;15;6 130 €;4705 € - 7330 €
Kayl;85;5 669 €;3964 € - 7328 €;21;5 454 €;3945 € - 7082 €
Kehlen;11;6 503 €;4847 € - 7362 €;27;6 731 €;5179 € - 7769 €
Kiischpelt;1;*;*;0;*;*
Koerich;4;*;*;0;*;*
Kopstal;9;*;*;10;7 495 €;5766 € - 10436 €
Lac de la Haute-Sûre;6;*;*;12;4 159 €;3481 € - 5003 €
Larochette;9;*;*;4;*;*
Lenningen;3;*;*;0;*;*
